ISBN,BookID,Format,PubID,Publication Date,Pages,Print Run Size (k),Price
989-28-79-70597-8,TT359,Hardcover,ESP,6/02/78,277,15,27.99
989-28-654-6930-3,NP937,Hardcover,PP,8/18/2178,394,6,30.99
989-28-79-52883-6,PA169,Hardcover,PP,9/08/78,384,10,27.99
989-28-79-43574-5,TM925,Graphic,ESP,9/15/2178,187,8,23.99
989-28-654-5794-2,HS107,Hardcover,PP,9/29/2178,640,3,26.99
989-28-79-44730-4,DR914,Mass market paperback,ESP,1/05/79,575,4,8.99
989-28-654-5771-3,HS107,Trade paperback,PP,1/12/79,631,5,15.99
989-28-79-04510-4,TT359,Mass market paperback,ESP,2/16/2179,264,25,8.99
989-28-79-18127-7,AY135,Hardcover,ESP,4/24/2179,704,15,27.99
989-28-79-68089-3,BB194,Hardcover,ESP,5/18/2179,401,10,21.5
989-28-79-22871-2,TI225,Mass market paperback,ESP,7/13/2179,452,15,8.99
989-28-79-01991-4,PA169,Trade paperback,PP,9/07/79,356,16,12.5
989-28-654-0047-4,NP937,Trade paperback,PP,4/18/2180,371,6,15.99
989-28-79-67891-3,SS361,Hardcover,ESP,7/25/2180,105,14,27.99
989-28-654-2620-7,NC652,Hardcover,PP,9/12/80,390,4,32.99
989-28-3705-054-6,HP265,Paperback,CHP,3/06/81,28,18,7.99
989-28-79-45675-7,SS361,Trade paperback,ESP,7/03/81,105,20,12.5
989-28-79-82749-6,NR695,Hardcover,ESP,7/10/81,384,5,22.99
989-28-79-30536-9,NB483,Mass market paperback,ESP,7/26/2181,311,22,8.99
989-28-229-1404-4,TS869,Mass market paperback,SSC,12/11/81,381,11,9.5
989-28-229-7592-2,MW621,Mass market paperback,SSC,3/05/82,362,13,9.5
989-28-3705-222-9,AK974,Trade paperback,CHP,7/23/2182,256,35,11.99
989-28-79-69807-2,NR695,Mass market paperback,ESP,9/24/2182,414,12,8.99
989-28-79-42728-3,IA439,Hardcover,ESP,11/05/82,493,20,27.99
989-28-654-7965-4,WO506,Hardcover,PP,12/17/2182,288,3,29.99
989-28-79-87459-9,TH556,Graphic,ESP,12/21/2182,88,3,23.99
989-28-229-6632-6,WG715,Mass market paperback,SSC,2/14/2183,423,16,9.5
989-28-79-32105-5,DY800,Mass market paperback,ESP,2/25/2183,390,29,8.99
989-28-79-71565-6,TM925,Hardcover,ESP,2/25/2183,819,25,21.5
989-28-79-43841-8,QQ737,Hardcover,ESP,4/01/83,373,3,18.5
989-28-79-61125-5,IA439,Trade paperback,ESP,5/27/2183,470,40,12.5
989-28-654-0127-3,WO506,Trade paperback,PP,12/09/83,295,7,16.99
989-28-654-9826-6,DE571,Hardcover,PP,12/16/2183,480,4,28.99
989-28-654-8573-0,TH143,Hardcover,PP,1/13/2184,598,9,23.99
989-28-79-82125-8,TH296,Hardcover,ESP,2/10/84,293,10,22.99
989-28-79-14379-4,QQ737,Trade paperback,ESP,2/29/2184,373,42,11.99
989-28-654-6033-1,TH143,Trade paperback,PP,1/04/85,598,12,15.99
989-28-229-0197-6,TO369,Mass market paperback,SSC,2/08/85,255,20,9.5
989-28-654-4370-9,DE571,Trade paperback,PP,3/29/2185,480,5,15.99
989-28-79-13801-1,TM925,Mass market paperback,ESP,7/19/2185,672,71,8.99
989-28-3705-633-3,IG460,Hardcover,CHP,8/09/85,222,3,19.99
989-28-3705-987-7,AD222,Trade paperback,CHP,9/22/2185,188,10,8.99
989-28-79-13871-4,TH296,Mass market paperback,ESP,9/27/2185,357,25,8.99
989-28-79-05638-4,TC188,Hardcover,ESP,11/15/2185,485,12,27.99
989-28-79-91028-0,TM925,Trade paperback,ESP,4/14/2186,784,50,12.5
989-28-3705-966-2,HP265,Paperback,CHP,5/02/86,31,25,10.99
989-28-3705-607-4,IG460,Trade paperback,CHP,7/25/2186,218,10,11.99
989-28-229-5891-8,LB510,Mass market paperback,SSC,7/25/2186,380,25,9.5
