id,user_id,service_date,repair_id
1,US39,2022-01-03,1
2,US45,2022-02-03,3
3,US45,2022-02-21,4
4,US35,2022-02-21,4
5,US39,2022-02-27,3
6,US42,2022-03-12,1
7,US39,2022-03-16,4
8,US49,2022-03-19,3
9,US43,2022-04-12,2
10,US43,2022-04-26,3
11,US38,2022-05-17,4
12,US44,2022-06-01,3
13,US41,2022-06-01,1
14,US39,2022-06-13,1
15,US42,2022-06-25,4
16,US36,2022-06-28,2
17,US49,2022-07-02,1
18,US49,2022-07-03,4
19,US36,2022-07-05,1
20,US49,2022-07-17,1
21,US46,2022-08-22,1
22,US45,2022-09-04,1
23,US48,2022-10-01,3
24,US50,2022-10-09,2
25,US42,2022-11-07,1
26,US50,2022-11-14,2
27,US42,2022-11-27,2
28,US44,2022-12-06,4
29,US39,2022-12-11,1
30,US48,2022-12-26,1
